capacity_bytes,date,failure,model,serial_number,smart_1_raw,smart_12_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_3_normalized,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw
4000787030016,2016-01-11,0,ST4000DM000,Z3011R6B,54213480.0,17.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,52537.0,21.0,0.0,0.0,0.0,44272522902264.0,19806918338.0,232181465115.0,92.0,17.0,0.0,17431328.0,15366.0
4000787030016,2016-01-11,0,ST4000DM000,Z302ET00,243503904.0,4.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0,5222.0,33.0,0.0,0.0,0.0,8075.0,17217863660.0,153207556900.0,96.0,4.0,0.0,438914975.0,8100.0
4000787030016,2016-07-09,0,ST4000DM000,Z303XYZ0,197345072.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4950.0,21.0,0.0,0.0,0.0,5582.0,24023555136.0,3513039880.0,95.0,5.0,0.0,227697613.0,5624.0
4000787030016,2016-01-11,0,ST4000DM000,S301NHSB,187258256.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2320.0,29.0,0.0,0.0,0.0,2210.0,15386172488.0,1206707898.0,96.0,4.0,0.0,106087437.0,2288.0
4000787030016,2016-01-11,0,ST4000DM000,Z302BQCE,167007208.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,43086.0,20.0,0.0,0.0,0.0,7967.0,30054313592.0,10063411180.0,95.0,5.0,0.0,346804579.0,8125.0
4000787030016,2016-01-11,0,ST4000DM000,S30117CZ,142825536.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,19775.0,21.0,0.0,0.0,0.0,6317.0,24930180544.0,14059302648.0,94.0,6.0,0.0,245006876.0,6441.0
4000787030016,2016-01-11,0,ST4000DM000,Z300QQN0,198627240.0,39.0,0.0,0.0,0.0,0.0,32.0,23.0,35.0,1701.0,23.0,0.0,0.0,0.0,67349382186778.0,25204569172.0,138432693169.0,92.0,39.0,0.0,436821941.0,18210.0
4000787030016,2016-07-09,0,ST4000DM000,Z305BB8K,139546512.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,35879.0,26.0,0.0,0.0,0.0,4849.0,21354932112.0,2391489273.0,95.0,5.0,0.0,194925816.0,5261.0
4000787030016,2016-02-28,0,ST4000DM000,Z305D6FQ,79827800.0,5.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,6694.0,29.0,0.0,0.0,0.0,388.0,1596104384.0,288098043.0,95.0,5.0,0.0,7421566.0,465.0
4000787030016,2016-01-11,0,ST4000DM000,S300Z5L2,94934496.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,39327.0,20.0,0.0,0.0,0.0,5011.0,21817623984.0,2642210254.0,99.0,1.0,0.0,191878681.0,5290.0
